duration,protocol_type,service,flag,src_bytes,dst_bytes,count,dst_host_srv_count,dst_host_same_srv_rate,label,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,srv_count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,srv_diff_host_rate,dst_host_count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate
58,tcp,http,SF,215,4507,2,255,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,udp,private,SF,105,146,1,254,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0,tcp,http,SF,239,486,2,255,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,30,0.03,0.03,0.0,0.0,0.0,0.0,0.0
1,tcp,smtp,SF,1699,371,10,138,0.54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,0.0,0.0,0.0,0.0,1.0,0.0,0.09,86,0.01,0.01,0.0,0.0,0.0,0.0,0.0
0,tcp,ftp_data,SF,334,0,1,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,tcp,http,SF,357,2728,4,255,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,29,0.03,0.03,0.0,0.0,0.0,0.0,0.0
0,udp,other,SF,147,105,1,1,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0,tcp,http,SF,223,903,2,255,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,39,0.03,0.03,0.0,0.0,0.0,0.0,0.0
4,tcp,private,SF,203,135,2,2,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,0.24,0.24,0.0,0.0,0.0,0.0,0.0
21,udp,domain_u,SF,44,132,2,12,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,tcp,http,S0,0,0,214,255,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1.0,1.0,0.0,0.0,0.07,0.07,0.0,255,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,icmp,ecr_i,SF,1032,0,511,255,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,tcp,http,REJ,0,0,229,255,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.0,0.0,1.0,1.0,0.04,0.06,0.0,255,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,tcp,private,S0,0,0,123,15,0.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.01,0.08,0.0,255,0.06,0.08,0.0,1.0,1.0,0.0,0.0
0,tcp,http,RSTO,0,0,22,255,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,1.0,1.0,0.09,0.05,0.0,255,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,tcp,other,S0,0,0,119,1,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,1.0,0.0,0.0,0.01,0.08,0.0,255,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,tcp,telnet,RSTR,0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,0.5,0.0,0.0,0.0,0.0,0.5,0.0
0,tcp,private,REJ,0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,255,0.88,0.0,0.0,0.0,0.0,0.88,0.0
0,tcp,http,S0,0,0,300,255,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,1.0,1.0,0.0,0.0,0.1,0.06,0.0,255,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,icmp,eco_i,SF,8,0,2,2,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0